Tema,Tarefas
Teorema de Euler,"Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}."
Criatividade e Inovação,"Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Elabora um workshop educativo prático sobre {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo."
Criatividade e Inovação,Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.
Geometria Fractal,Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Era Digital e IA,Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um poema ou música sobre {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.
Economia Sustentável,Escreve um argumento defendendo e outro contra {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.
Programação em Python,Pesquisa e resume um artigo científico sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.
Ecossistemas Marinhos,Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
Fotossíntese,Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Encontra e analisa um caso real que envolva {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Escreve um argumento defendendo e outro contra {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.
Mecânica Quântica,Cria um enigma ou puzzle matemático baseado em {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Elabora um workshop educativo prático sobre {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Mecânica Quântica,Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Elabora um workshop educativo prático sobre {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um enigma ou puzzle matemático baseado em {tema}.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Bioética,"Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Escreve um ensaio sobre como {tema} influencia a sociedade atual."
Economia Sustentável,Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.
Big Bang e a Origem do Universo,Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Elabora um workshop educativo prático sobre {tema}.
Big Bang e a Origem do Universo,"Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso."
Filósofos Gregos,"Pesquisa e resume um artigo científico sobre {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}."
Programação em Python,Cria um website simples que explique {tema} para iniciantes.; Encontra e analisa um caso real que envolva {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Pesquisa e resume um artigo científico sobre {tema}.
Política Internacional,Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.
Realidade Virtual e Aumentada,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Elabora um workshop educativo prático sobre {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.
Teorema de Pitágoras,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia."
Filósofos Gregos,Encontra e analisa um caso real que envolva {tema}.; Escreve um poema ou música sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.
Criatividade e Inovação,Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.
Direitos Humanos,Escreve um argumento defendendo e outro contra {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria um website simples que explique {tema} para iniciantes.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.
Linguística e Origem das Línguas,Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Encontra e analisa um caso real que envolva {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
Linguística e Origem das Línguas,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Escreve um código de programação simples que ilustre um conceito de {tema}.
Grandes Descobrimentos,Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um discurso político que mencione a importância de {tema}.
Matemática na Música,Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um enigma ou puzzle matemático baseado em {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.
Robótica e Automação,Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.
